SBD BB KHTN KHXH
BD1200001 11 0 19 
BD1200002 18.45 18.75 0 
BD1200003 15.55 0 22.25 
BD1200004 20.05 18 0 
BD1200005 23.5 16.75 0 
BD1200006 12.25 0 11.75 
BD1200007 18.25 17.5 0 
BD1200008 18 19.25 0 
BD1200009 15.7 16 18 
BD1200010 16 10.25 17.5 
BD1200011 19.85 14.5 0 
BD1200012 16.15 13.75 20.75 
BD1200013 7.8 0 2.75 
BD1200014 11.4 8.75 17 
BD1200015 13.7 0 14.25 
BD1200016 17.75 18.5 0 
BD1200017 16.25 16.5 0 
BD1200018 18.85 15 0 
BD1200019 11.7 9.75 13.75 
BD1200020 22.75 18.25 0 
BD1200021 11.85 0 12.75 
BD1200022 8.65 0 15 
BD1200024 17.35 13.25 0 
BD1200025 6 0 8.5 
BD1200026 9.95 0 12.5 
BD1200027 15.8 0 18 
BD1200028 17.2 0 19 
BD1200029 13.85 10.25 19.25 
BD1200030 15.1 12.25 15.5 
BD1200031 19 18.5 0 
BD1200032 16.05 0 19.5 
BD1200033 19.85 20.5 0 
BD1200034 15 12 18.25 
BD1200035 15.95 0 21.25 
BD1200036 13.4 0 18 
BD1200037 16.85 17 0 
BD1200038 16.6 0 12.75 
BD1200039 16.65 8.25 15.5 
BD1200040 13.7 11.25 18.25 
BD1200041 12.3 0 14.25 
BD1200042 13.55 12 18.75 
BD1200043 8.4 0 15.5 
BD1200044 20.5 17 0 
BD1200045 18.8 15.75 0 
BD1200046 20.2 0 23.25 
BD1200047 11.35 10.75 0 
BD1200048 18.35 20.75 0 
BD1200049 16.3 14.75 0 
BD1200050 14.05 0 19.5 
BD1200051 7.3 0 10.25 
BD1200052 12.8 0 19.75 
BD1200053 15.45 16.25 0 
BD1200054 20.85 23.5 0 
BD1200055 17.45 0 15.25 
BD1200056 13.6 19 0 
BD1200057 18.3 16.5 0 
BD1200058 15.8 10.75 16.25 
BD1200059 12.5 0 15 
BD1200060 14.05 0 14.75 
BD1200061 17.45 13.5 16.75 
BD1200062 15.8 15.25 14.25 
BD1200063 13.2 10 14.25 
BD1200064 22.5 0 21.5 
BD1200065 10.45 9.25 10.25 
BD1200066 19 0 18.75 
BD1200067 10.4 0 9.5 
